"filename", "language", "C++", "Python", "comment", "blank", "total"
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\py scripts\MagRecordPlot.py", "Python", 0, -65, -73, -40, -178
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\py scripts\TP_Estimators_Display.py", "Python", 0, -202, -18, -49, -269
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\py scripts\TP_Monitor.py", "Python", 0, -119, -14, -35, -168
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\py scripts\TP_Monitor2.py", "Python", 0, -354, -26, -68, -448
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\src\main.cpp", "C++", 233, 0, 98, 69, 400
"Total", "-", 233, -740, -33, -123, -663
