"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\src\main.cpp", "C++", 233, 98, 69, 400
"Total", "-", 233, 98, 69, 400
