"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\py scripts\MagRecordPlot.py", "Python", 65, 73, 40, 178
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\py scripts\TP_Estimators_Display.py", "Python", 202, 18, 49, 269
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\py scripts\TP_Monitor.py", "Python", 119, 14, 35, 168
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\py scripts\TP_Monitor2.py", "Python", 354, 26, 68, 448
"Total", "-", 740, 131, 192, 1063
